Pick a Pseudonym,I am in class period,I am in Grade,My Favorite Project in this semester is ,Check all contents you considered yourself knew well(intermediate level or above) before coming to this class.,How many times do you revise/resubmit your Project 1: Scratch?,Project 1 grade (only number ex: 100),How many times do you revise/resubmit your Project 2: Turtle Animal Painting?,Project 2 grade (only number ex: 100),How many times do you revise/resubmit your Project 3: Interactive Turtle Pattern?,Project 3 grade (enter raw score full point is 150),How many times do you revise/resubmit your Project 4: Make your Obby?,"Project 4 grade (enter raw score, full point is 150 )",Consent: I allow Ms.Miaoya to use my data entry above in grade and revision analysis.
monkey,2 / B,8,Project 4: Make your Obby,Scratch Roblox Studio/Lua HTML,0,100,0,100,0,150,1,150,Yes
A,2 / B,8,Project 4: Make your Obby,Scratch,1,100,0,100,0,150,0,150,Yes
strawberry594,2 / B,7,Project 1: Scratch,Scratch,0,100,1,100,0,150,1,150,Yes
Madeline ,2 / B,7,Project 4: Make your Obby,Scratch Python Roblox Studio/Lua,1,100,1,100,0,150,0,150,Yes
Amazing Animal,2 / B,8,Project 4: Make your Obby,Scratch Turtle,2,100,0,100,1,150,0,150,Yes
shoppingcart17,2 / B,8,Project 1: Scratch,Scratch,0,100,1,100,1,150,1,150,Yes
BigHippo123,2 / B,8,Project 4: Make your Obby,Scratch Python,1,100,0,100,0,150,1,115,Yes
Water guy,2 / B,8,Project 4: Make your Obby,Python Roblox Studio/Lua HTML,2,100,1,100,2,150,2,150,Yes
KingSamurai,2 / B,7,Final Project: HTML & Game,Scratch,0,100,1,70,0,150,3,105,Yes
SnowisFalling123,2 / B,8,Project 4: Make your Obby,None,0,100,0,100,0,150,0,150,Yes
happyunicorn1,2 / B,8,Final Project: HTML & Game,Scratch HTML,1,100,1,100,1,150,1,150,Yes
1110,2 / B,8,Project 1: Scratch,Scratch Python HTML,3,100,1,100,2,150,2,150,Yes
Edgar,2 / B,8,Project 3: Interactive Turtle Pattern,Roblox Studio/Lua,2,100,1,100,0,115,1,115,Yes
Obcd,2 / B,8,Project 2: Turtle Animal Painting,None,1,100,2,100,1,100,1,100,Yes
FastRunner101,2 / B,8,Project 4: Make your Obby,Scratch Roblox Studio/Lua,1,100,0,100,1,150,2,150,Yes
Emily Witherspoon,2 / B,7,Project 1: Scratch,Scratch Turtle Python HTML,1,100,1,100,0,150,0,130,Yes
Cat,2 / B,7,Project 4: Make your Obby,Scratch Turtle Python HTML,2,100,1,100,0,150,2,150,Yes
posionivy24,2 / B,8,Project 2: Turtle Animal Painting,Scratch Turtle Python HTML,3,100,2,100,1,150,3,150,Yes
AFK2,5 / E,7,Project 4: Make your Obby,Roblox Studio/Lua,1,100,0,100,1,150,1,150,Yes
lupa,5 / E,7,Final Project: HTML & Game,Scratch Turtle Python Roblox Studio/Lua HTML,0,100,0,100,0,150,0,150,Yes
MilesMorales18,5 / E,7,Project 4: Make your Obby,None,1,100,1,100,2,100,1,150,Yes
dedzeero,5 / E,8,Final Project: HTML & Game,Scratch HTML,1,100,0,100,0,150,1,150,Yes
froggy pie,5 / E,7,Project 4: Make your Obby,None,1,100,0,100,2,150,0,150,Yes
FoodLover123,5 / E,7,Project 4: Make your Obby,Scratch Roblox Studio/Lua HTML,0,100,0,100,0,150,1,150,Yes
I<3Laufey,5 / E,7,Project 2: Turtle Animal Painting,None,0,100,0,100,0,150,0,150,Yes
🏓🏓🔥🔥,5 / E,7,Project 4: Make your Obby,Scratch,1,100,1,100,1,150,1,150,Yes
CorgiPuppies123,5 / E,8,Project 2: Turtle Animal Painting,Scratch Roblox Studio/Lua HTML,0,100,1,100,0,150,0,150,Yes
Darkrye_Bread,5 / E,7,Project 4: Make your Obby,Scratch Python Roblox Studio/Lua,1,100,2,100,2,150,2,125,Yes
ChickFilA2001Forever,5 / E,8,Project 4: Make your Obby,Scratch Turtle Python HTML,0,100,0,100,0,150,1,150,Yes
Sigma Meals! Skibidi Slicers!,5 / E,8,Project 4: Make your Obby,Scratch Python HTML,0,100,0,100,0,150,1,150,Yes
sharky78,5 / E,7,Project 4: Make your Obby,Scratch,1,100,0,100,0,150,0,150,Yes
Cricket,5 / E,7,Project 1: Scratch,Roblox Studio/Lua,0,100,1,100,0,150,1,150,Yes
anini,5 / E,8,Project 4: Make your Obby,None,1,100,0,100,0,150,0,150,Yes
Lorax,5 / E,7,Final Project: HTML & Game,Scratch,2,100,0,100,1,150,1,125,Yes
ballincat43,5 / E,7,Project 4: Make your Obby,Scratch Turtle Python HTML,0,100,0,100,1,150,1,150,Yes
MeowaShade,5 / E,8,Project 4: Make your Obby,Scratch Turtle Python HTML,0,100,0,100,0,150,1,150,Yes
Not A Name 546,5 / E,8,Project 4: Make your Obby,Scratch Turtle Python Roblox Studio/Lua HTML,0,100,1,100,0,150,0,150,Yes
monkeyman1000,5 / E,7,Project 4: Make your Obby,Scratch Roblox Studio/Lua,2,100,2,60,1,130,1,150,Yes
man,5 / E,8,Project 4: Make your Obby,None,2,100,2,70,2,150,2,150,Yes
RL,5 / E,7,Final Project: HTML & Game,Scratch Turtle Python HTML,2,100,1,100,2,100,1,150,Yes
